type,date,distance,elevation
ride,9/8/20,10.32,1358
walk,8/30/20,8.09,381
walk,8/13/20,3.84,181
hike,8/7/20,5.83,205
hike,8/2/20,4.51,543
ride,7/28/20,3.28,60
ride,7/28/20,12.42,964
hike,7/25/20,4.88,987
ride,7/20/20,12.14,1200
hike,7/17/20,1.62,114
ride,7/14/20,26.74,2919
ride,7/9/20,11.74,1572
ride,7/6/20,9.72,1036
ride,7/4/20,30.86,3041
ride,7/2/20,15.53,2096
ride,6/29/20,10.84,1351
ride,6/27/20,9.6,237
ride,6/25/20,9.95,1488
ride,6/23/20,12.28,1759
ride,6/22/20,6.2,1022
ride,6/18/20,10.66,378
ride,6/16/20,18.27,2189
hike,6/14/20,2.46,413
ride,6/13/20,28.76,965
ride,6/9/20,13.99,1412
ride,6/8/20,9.26,891
ride,6/6/20,11.5,392
ride,6/5/20,13.66,1977
ride,6/2/20,14.71,1381
hike,5/31/20,5.35,994
hike,5/23/20,4.64,961
hike,5/20/20,2.4,392
hike,5/16/20,4,632
ride,5/16/20,9.14,332
ride,5/15/20,15.31,471
hike,5/9/20,3.54,710
ride,5/8/20,19.71,503
ride,5/6/20,10.53,535
ride,5/5/20,9.27,1167
ride,5/4/20,8.91,754
run,5/2/20,3.73,163
ride,5/1/20,23.91,1429
ride,4/30/20,12.73,1477